total: 166
dlg_30900030                        | forage=False | group=Kraftfutter/Trocken            | me=11.20 | st=   20 | ndf=  242 | Lein, Samen, Extraktionsschrot, aufgefettet
dlg_30910030                        | forage=False | group=Kraftfutter/Trocken            | me=11.70 | st=   20 | ndf=  234 | Lein, Samen, Presskuchen
dlg_30920030                        | forage=False | group=Kraftfutter/Trocken            | me=12.90 | st=  163 | ndf=  265 | Mais, Korn, Maiskleberfutter
dlg_30930030                        | forage=False | group=Kraftfutter/Trocken            | me=11.80 | st=  199 | ndf=  350 | Getreide, Samen, Malzkeime
dlg_30940030                        | forage=False | group=Kraftfutter/Trocken            | me=13.10 | st=    0 | ndf=  399 | Zuckerr├╝be, Melasseschnitzel
dlg_30950030                        | forage=False | group=Kraftfutter/Trocken            | me=11.00 | st=    3 | ndf=  718 | Palmkern, Presskuchen
dlg_30960030                        | forage=False | group=Kraftfutter/Trocken            | me=17.60 | st=   36 | ndf=  160 | Raps, Samen nativ
dlg_30970130                        | forage=False | group=Kraftfutter/Trocken            | me=11.70 | st=   72 | ndf=  298 | Raps, Samen, Extraktionsschrot
dlg_30970230                        | forage=False | group=Kraftfutter/Trocken            | me=11.70 | st=   72 | ndf=  298 | Raps, Samen, Extraktionsschrot
dlg_30970330                        | forage=False | group=Kraftfutter/Trocken            | me=11.70 | st=   72 | ndf=  298 | Raps, Samen, Extraktionsschrot
dlg_30970430                        | forage=False | group=Kraftfutter/Trocken            | me=11.70 | st=   72 | ndf=  298 | Raps, Samen, Extraktionsschrot
dlg_30980130                        | forage=False | group=Kraftfutter/Trocken            | me=11.70 | st=   81 | ndf=  305 | Raps, Samen, Extraktionsschrot, gezielt thermisch behandelt
dlg_30980230                        | forage=False | group=Kraftfutter/Trocken            | me=11.70 | st=   81 | ndf=  305 | Raps, Samen, Extraktionsschrot, gezielt thermisch behandelt
dlg_30980330                        | forage=False | group=Kraftfutter/Trocken            | me=11.70 | st=   81 | ndf=  305 | Raps, Samen, Extraktionsschrot, gezielt thermisch behandelt
dlg_30990030                        | forage=False | group=Kraftfutter/Trocken            | me=14.00 | st=   49 | ndf=  244 | Raps, Samen, Presskuchen
dlg_31000030                        | forage=False | group=Kraftfutter/Trocken            | me=30.00 | st=    0 | ndf=    0 | Raps, ├ûl
dlg_31010030                        | forage=False | group=Kraftfutter/Trocken            | me=13.00 | st=  592 | ndf=  162 | Roggen, Samen
dlg_31020030                        | forage=False | group=Kraftfutter/Trocken            | me=11.70 | st=  225 | ndf=  420 | Roggen, Samen, Kleie
dlg_31030030                        | forage=False | group=Kraftfutter/Trocken            | me=14.30 | st=  434 | ndf=  124 | Schokomehl, Erzeugnisse und Nebenerzeugnisse der Back- und S├╝├ƒwarenindustrie
dlg_31040030                        | forage=False | group=Kraftfutter/Trocken            | me=18.40 | st=   51 | ndf=  159 | Sojabohne, Samen nativ
dlg_31050130                        | forage=False | group=Kraftfutter/Trocken            | me=13.90 | st=   68 | ndf=  154 | Sojabohne, Samen, Extraktionsschrot
dlg_31050230                        | forage=False | group=Kraftfutter/Trocken            | me=13.90 | st=   68 | ndf=  154 | Sojabohne, Samen, Extraktionsschrot
dlg_31050330                        | forage=False | group=Kraftfutter/Trocken            | me=13.90 | st=   68 | ndf=  154 | Sojabohne, Samen, Extraktionsschrot
dlg_31060030                        | forage=False | group=Kraftfutter/Trocken            | me=14.10 | st=   45 | ndf=  124 | Sojabohne, Extraktionsschrot, aus gesch├ñlter Saat
dlg_31070030                        | forage=False | group=Kraftfutter/Trocken            | me=13.70 | st=   22 | ndf=  273 | Sojabohne, Samen, Extraktionsschrot, pansenstabil
dlg_31080030                        | forage=False | group=Kraftfutter/Trocken            | me=15.60 | st=   60 | ndf=  136 | Sojabohne, Samen, Presskuchen
dlg_31090030                        | forage=False | group=Kraftfutter/Trocken            | me=12.10 | st=   80 | ndf=  680 | Sojabohne, Samenschalen
