TABLE_NAME,COLUMN_NAME
AKTION,INFO
AKTION,SICHTEINSCHRAENKEN
AKTIONSPROTOKOLL,ID
AKTIONSPROTOKOLL,DBID
AKTIONSPROTOKOLL,TYP
AKTIONSPROTOKOLL,GESCHST
AKTIONSPROTOKOLL,BEDIENER
AKTIONSPROTOKOLL,DATE_INSERT
AKTIONSPROTOKOLL,AKTION
AKTIONSPROTOKOLL,VARKEY1
AKTIONSPROTOKOLL,KEY1
AKTIONSPROTOKOLL,DATEVALUE1
AKTIONSPROTOKOLL,DATEVALUE2
AKTIONSPROTOKOLL,DATEVALUE3
AKTIONSPROTOKOLL,DATEVALUE4
AKTIONSPROTOKOLL,VARVALUE1
AKTIONSPROTOKOLL,VARVALUE2
AKTIONSPROTOKOLL,TRFIELD
AKTIONSPROTOKOLL,REPL_ID
AKTIONSPROTOKOLL,REPL_DATABASE
AKTION_BEDIENER,ID
AKTION_BEDIENER,DBID
AKTION_BEDIENER,ID_AKTION
AKTION_BEDIENER,DBID_AKTION
AKTION_BEDIENER,BEDIENER
AKTION_BEDIENER,ERL
AKTION_BEDIENER,TRFIELD
AKTION_BEDIENER,REPL_ID
AKTION_BEDIENER,REPL_DATABASE
AKTION_PRIO,ID
AKTION_PRIO,DBID
AKTION_PRIO,SCHLUESSEL
AKTION_PRIO,BEZEICHNUNG
AKTION_PRIO,FARBE
AKTION_PRIO,SCHRIFTFARBE
AKTION_PRIO,TRFIELD
AKTION_PRIO,REPL_ID
AKTION_PRIO,REPL_DATABASE
ALLLISTEN,LFDNR
ALLLISTEN,BESCHREIBUNG
ALLLISTEN,VERWENDSCHL
ALLLISTEN,ART
ALLLISTEN,SQLTEXT
ALLLISTEN,PROTEXT
ALLLISTEN,DATEI
ALLLISTEN,INFO
ALLLISTEN,QUERDRUCK
ALLLISTEN,XSTART
ALLLISTEN,YSTART
ALLLISTEN,DRUCKDAT
ALLLISTEN,GENAULANGERM
ALLLISTEN,ZEICHENWEITE
ALLLISTEN,RANDOBEN
ALLLISTEN,RANDLINKS
ALLLISTEN,PASSWORT
ALLLISTEN,PROTEXT2
ALLLISTEN,TRFIELD
ALLLISTEN,REPL_ID
ALLLISTEN,REPL_DATABASE
ALLLISTEN,MEHRERE_DB
ALLLISTEN,BLPWDAUF
ALLLISTEN,INTERNEXTERN
ALLLISTEN,REPORTQUELLE
ALLLISTEN,LPARAMETER
ALLLISTEN,RANDUNTEN
ALLLISTEN,MANDANTGLOBAL
ALLLISTEN_ABLAGE,ID
ALLLISTEN_ABLAGE,DBID
ALLLISTEN_ABLAGE,LFDNR
ALLLISTEN_ABLAGE,ABLAGEART
ALLLISTEN_ABLAGE,KONTAKTTYP
ALLLISTEN_ABLAGE,KID1
ALLLISTEN_ABLAGE,KID2
ALLLISTEN_ABLAGE,ERLEDIGT
ALLLISTEN_ABLAGE,DISPONENT
ALLLISTEN_ABLAGE,BEDIENER
ALLLISTEN_ABLAGE,FBEDIENER
ALLLISTEN_ABLAGE,KONTAKTART
ALLLISTEN_ABLAGE,WIEDERVORLAGE
ALLLISTEN_ABLAGE,DTVON
ALLLISTEN_ABLAGE,DTBIS
ALLLISTEN_ABLAGE,THEMA
ALLLISTEN_ABLAGE,DOKUMENT
ALLLISTEN_ABLAGE,VERZEICHNIS
ALLLISTEN_ABLAGE,TEXT
ALLLISTEN_ABLAGE,TRFIELD
ALLLISTEN_ABLAGE,REPL_ID
ALLLISTEN_ABLAGE,REPL_DATABASE
ALLLISTEN_ABLAGE,SWIEDERVORLAGE
ALLLISTEN_ABLAGE,WBEDIENER
ALLLISTEN_ACCESS,ID
ALLLISTEN_ACCESS,DBID
ALLLISTEN_ACCESS,LFDNR
ALLLISTEN_ACCESS,BEDIENER
ALLLISTEN_ACCESS,ID_BEDIENERGRP
ALLLISTEN_ACCESS,DBID_BEDIENERGRP
ALLLISTEN_ACCESS,IGESCHST
ALLLISTEN_ACCESS,TRFIELD
ALLLISTEN_ACCESS,REPL_ID
ALLLISTEN_ACCESS,REPL_DATABASE
ALLLISTEN_DB,ID
ALLLISTEN_DB,DBID
ALLLISTEN_DB,ALLLISTEN_LFDNR
ALLLISTEN_DB,DBNAME
ALLLISTEN_DB,TRFIELD
ALLLISTEN_DB,REPL_ID
ALLLISTEN_DB,REPL_DATABASE
ALLLISTEN_FAVORITEN,ID
ALLLISTEN_FAVORITEN,DBID
ALLLISTEN_FAVORITEN,LFDNR
ALLLISTEN_FAVORITEN,BEDIENER
ALLLISTEN_FAVORITEN,TRFIELD
ALLLISTEN_FAVORITEN,REPL_ID
ALLLISTEN_FAVORITEN,REPL_DATABASE
ALLLISTEN_PROTOKOLLIERUNG,ID
ALLLISTEN_PROTOKOLLIERUNG,DBID
ALLLISTEN_PROTOKOLLIERUNG,ZEITSTEMPEL
ALLLISTEN_PROTOKOLLIERUNG,BEDIENER
ALLLISTEN_PROTOKOLLIERUNG,AUSWERTUNGSNR
ALLLISTEN_PROTOKOLLIERUNG,TRFIELD
